Lex	Type	Regex	Direction	Sort	Final_Sort
may represent	SUSPECTED	(may|might)\s(represent|reflect)	forward	5	178
mild patchy	SUSPECTED		forward	5	179
mild scattered	SUSPECTED		forward	5	180
no other	SUSPECTED		forward	5	181
possible minimal	SUSPECTED		forward	5	182
possible tiny	SUSPECTED		forward	5	183
presumably	SUSPECTED		forward	5	184
questionable tiny	SUSPECTED		forward	5	185
rather than	SUSPECTED		forward	5	186
suspect	SUSPECTED		forward	5	187
suspicious	SUSPECTED	suspicious(\sfor)?	forward	5	188
tiny amount of	SUSPECTED		forward	5	189
very small	SUSPECTED		forward	5	190
worrisome	SUSPECTED		forward	5	191
as a suggestion	SUSPECTED		bidirectional	5	192
construed as	SUSPECTED		bidirectional	5	193
equivocal	SUSPECTED		bidirectional	5	194
exhibit	SUSPECTED		bidirectional	5	195
favor	SUSPECTED		bidirectional	5	196
possible	SUSPECTED	(possible|possibly)	bidirectional	5	197
probable	SUSPECTED		bidirectional	5	198
questionable	SUSPECTED		bidirectional	5	199
should be considered	SUSPECTED		bidirectional	5	200
signs of	SUSPECTED		bidirectional	5	201
appearing consistent with	SUSPECTED		backward	5	202
is noted	SUSPECTED		backward	5	203
may be slightly less	SUSPECTED		backward	5	204
seen best	SUSPECTED		backward	5	205
suspected	SUSPECTED		backward	5	206
atypical for	INDETERMINATE		forward	6	207
cannot	INDETERMINATE		forward	6	208
cannot exclude	INDETERMINATE		forward	6	209
cannot rule out	INDETERMINATE	cannot\srule(\s(patient|the\spatient|her|him ))?\sout	forward	6	210
cannot see	INDETERMINATE		forward	6	211
declines	INDETERMINATE		forward	6	212
decrease the likelihood	INDETERMINATE	decreas[a-z]+(\sthe\s)?likelihood	forward	6	213
denied	INDETERMINATE	denie(d|s)	forward	6	214
deny	INDETERMINATE	deny(ing)?	forward	6	215
differential diagnosis would include	INDETERMINATE	differential\s((diagnosis|considerations)\s)?((would|could)\sinclud[a-z]*)?	forward	6	216
insufficient to rule the patient out for	INDETERMINATE	insufficient\sto\srule\s(patient|the\spatient|her|him)\sout\sfor	forward	6	217
low probability	INDETERMINATE		forward	6	218
might be ruled out for	INDETERMINATE		forward	6	219
mimicking	INDETERMINATE		forward	6	220
never developed	INDETERMINATE		forward	6	221
no cause of	INDETERMINATE		forward	6	222
no complaints of	INDETERMINATE		forward	6	223
no findings of	INDETERMINATE		forward	6	224
no other CT evidence	INDETERMINATE	no\s((other|secondary)\s)?((CT|radiographic|sonographic)\s)?evidence	forward	6	225
no sign of	INDETERMINATE		forward	6	226
no suspicious	INDETERMINATE		forward	6	227
nor	INDETERMINATE	\bnor\b	forward	6	228
not adequate to rule out	INDETERMINATE	not\sadequate\sto\srule\s((patient|the patient|her|him)\s)?out	forward	6	229
not appreciate	INDETERMINATE		forward	6	230
not associated with	INDETERMINATE		forward	6	231
not clearly evident	INDETERMINATE		forward	6	232
not complain of	INDETERMINATE		forward	6	233
not feel	INDETERMINATE		forward	6	234
not know of	INDETERMINATE		forward	6	235
not known to have	INDETERMINATE		forward	6	236
not to be	INDETERMINATE		forward	6	237
nothing	INDETERMINATE		forward	6	238
simulating	INDETERMINATE		forward	6	239
test for	INDETERMINATE		forward	6	240
to exclude	INDETERMINATE		forward	6	241
unable to assess	INDETERMINATE	unable\sto\s(adequately\s)?assess	forward	6	242
without indication	INDETERMINATE		forward	6	243
without loss	INDETERMINATE		forward	6	244
borderline	INDETERMINATE		bidirectional	6	245
cannot be completely excluded	INDETERMINATE	cannot\sbe\s((entirely|completely|totally)\s)?(excluded|ruled\sout|evaluated)	bidirectional	6	246
clear	INDETERMINATE		bidirectional	6	247
could not be ruled	INDETERMINATE		bidirectional	6	248
highly hesitant	INDETERMINATE		bidirectional	6	249
incompletely evaluated	INDETERMINATE		bidirectional	6	250
less likely	INDETERMINATE		bidirectional	6	251
cannot totally be excluded	INDETERMINATE	cannot\stotally\s(be\sexcluded|exclude)	backward	6	252
is in the differential	INDETERMINATE		backward	6	253
is not entirely excluded	INDETERMINATE	(is|was|are|were|does)\snot\s(entirely|totally|definitely|completely)\sexcluded	backward	6	254
is not excluded	INDETERMINATE	(is|was|are|were)\snot\sexcluded	backward	6	255
might be ruled out	INDETERMINATE		backward	6	256
not definitive	INDETERMINATE		backward	6	257
not definitively seen	INDETERMINATE	not\sdefinitively\s(seen|visualized)	backward	6	258
not excluded	INDETERMINATE	not\s(excluded|ruled\sout)	backward	6	259
was not excluded	INDETERMINATE	(was|were)\snot\sexcluded	backward	6	260
would not be expected	INDETERMINATE		backward	6	261
